"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"22","Cooper Kupp (LAR)","9","75","812","10.8","388","5.2","0","0.0","424","5.7","106","1.4","3","98","19.0%","79","2","11","29","11","3","2","2","75"
"23","Chris Olave (NO)","15","72","1,042","14.5","832","11.6","0","0.0","210","2.9","54","0.8","2","119","24.1%","78","7","10","49","13","6","4","2","53"
"24","Gabe Davis (JAC)","15","48","836","17.4","690","14.4","0","0.0","146","3.0","21","0.4","0","93","16.7%","57","9","13","33","11","4","3","2","98"
"25","Christian Watson (GB)","14","41","611","14.9","335","8.2","0","0.0","276","6.7","46","1.1","3","65","12.1%","45","4","13","24","8","4","3","2","63"
"26","Chris Godwin (TB)","15","104","1,023","9.8","496","4.8","0","0.0","527","5.1","128","1.2","4","142","19.6%","109","3","15","40","10","2","1","0","44"
"27","Michael Pittman Jr. (IND)","16","99","925","9.3","573","5.8","0","0.0","352","3.6","112","1.1","4","141","24.4%","106","6","14","40","8","0","0","0","28"
"28","Tyler Boyd (TEN)","17","59","776","13.2","527","8.9","0","0.0","249","4.2","81","1.4","2","83","13.9%","62","3","12","33","10","3","3","2","60"
"29","Zay Jones (ARI)","16","82","823","10.0","541","6.6","0","0.0","282","3.4","58","0.7","2","121","21.1%","94","12","18","32","7","1","1","1","59"
"30","Allen Lazard (NYJ)","15","60","788","13.1","540","9.0","0","0.0","248","4.1","61","1.0","1","100","18.6%","68","6","17","30","13","5","2","0","47"
"31","George Pickens (PIT)","17","52","801","15.4","697","13.4","0","0.0","104","2.0","44","0.8","5","84","15.3%","59","4","6","33","17","7","1","0","42"
"32","Mike Williams (NYJ)","13","63","895","14.2","561","8.9","0","0.0","334","5.3","54","0.9","0","93","13.5%","64","1","13","38","11","5","2","2","55"
"33","Jakobi Meyers (LV)","14","67","804","12.0","568","8.5","0","0.0","236","3.5","33","0.5","1","96","18.5%","71","4","7","34","14","3","1","0","48"
"34","Deebo Samuel Sr. (SF)","13","56","632","11.3","139","2.5","0","0.0","493","8.8","184","3.3","12","94","18.7%","65","9","13","24","7","2","1","1","57"
"35","Curtis Samuel (BUF)","17","64","656","10.3","365","5.7","0","0.0","291","4.5","69","1.1","8","92","17.3%","68","5","9","29","10","2","1","0","49"
"36","Adam Thielen (CAR)","17","70","716","10.2","564","8.1","0","0.0","152","2.2","27","0.4","1","107","16.7%","74","2","21","34","7","1","0","0","36"
"37","JuJu Smith-Schuster (NE)","16","78","933","12.0","430","5.5","0","0.0","503","6.4","130","1.7","3","101","16.4%","84","6","16","38","9","4","4","1","53"
"38","Drake London (ATL)","17","72","866","12.0","616","8.6","0","0.0","250","3.5","43","0.6","1","117","29.3%","83","4","16","41","10","4","1","0","40"
